Index,Time(s),Cluster,Pan,SpectralCentroid(Hz),SpectralRolloff(Hz),SpectralFlatness,Pitch(Hz),TimeDelta(s),PrimaryEnergy,SecondaryEnergy,GeoMean,TotalEnergy,SustainMs
11,170.13260770975057,NOISE,-1.0,7944.465838684827,12769.189453125,0.05975233390927315,1333.2627111131071,0.8126984126984098,6.2365288734436035,29.325679779052734,13.523699518823376,35.56220865249634,51.20181405895691
12,170.26031746031745,NOISE,1.0,7874.5703851899425,14371.259765625,0.1251433938741684,495.7987072192649,0.12770975056687917,200.70083618164062,505.9459228515625,318.65933185613824,706.6467590332031,178.34467120181404
13,171.1194557823129,NOISE,-0.5197079184245832,7746.207192668999,10999.16015625,0.03763914853334427,215.18794594315838,0.8591383219954594,45.40121841430664,270.5238952636719,110.82470146657279,315.9251136779785,199.546485260771
14,171.5954648526077,C1,0.010412158949547843,9186.22656731081,13660.6640625,0.09873392432928085,7355.644783461276,0.47600907029479345,36.89788055419922,322.4220275878906,109.07194626475092,359.31990814208984,195.23809523809524
15,171.82766439909298,C1,0.24364150535625778,9738.8485900657,14427.24609375,0.07710909098386765,7206.465882721001,0.2321995464852762,28.740318298339844,491.4834899902344,118.85029213551921,520.2238082885742,190.36281179138322
16,172.96544217687074,NOISE,-0.03303090456843294,8659.418399845887,12562.470703125,0.10796697437763214,6691.706272392581,1.1377777777777567,23.355880737304688,165.55734252929688,62.183096958091106,188.91322326660156,183.56009070294786
17,173.197641723356,C1,0.09641435882807967,10172.36715008724,15663.251953125,0.11022502183914185,7358.414046350516,0.2321995464852762,29.5206356048584,397.52264404296875,108.32876404479244,427.04327964782715,162.90249433106575
18,173.638820861678,C1,0.19654725606140852,8952.98627858025,13639.130859375,0.07587233930826187,7435.816745130871,0.44117913832198496,17.637914657592773,206.92599487304688,60.41310319796758,224.56390953063965,180.20408163265304
19,173.77814058956915,NOISE,0.38599070640296956,9533.10993377457,15525.439453125,0.09187387675046921,7824.973483887124,0.13931972789114866,10.130046844482422,69.25270080566406,26.48647019269088,79.38274765014648,71.40589569160997
20,174.78820861678005,NOISE,-0.18349733863239054,9069.866768040933,13863.076171875,0.13819845020771027,656.3375128637923,1.010068027210906,57.916282653808594,391.97296142578125,150.6705572651338,449.88924407958984,199.9546485260771
21,175.0204081632653,C1,0.023309000294974448,9860.479975751568,15012.94921875,0.08916636556386948,7162.501454522561,0.23219954648524777,55.748233795166016,579.4859619140625,179.7368044831159,635.2341957092285,198.07256235827663
22,175.21777777777777,NOISE,0.08572109431606753,9288.580381869626,13764.0234375,0.12251771986484528,3597.7364260067607,0.1973696145124677,25.401254653930664,199.10494995117188,71.11621148913824,224.50620460510254,184.62585034013605
23,175.46158730158731,C1,0.15779037382028743,10088.184290367633,14754.55078125,0.07601119577884674,7459.850906914404,0.24380952380954568,28.42913055419922,510.43829345703125,120.46292742812037,538.8674240112305,181.36054421768708
24,175.6821768707483,NOISE,-0.1512067477622138,7802.216939617693,12054.287109375,0.10703013837337494,330.1349763842052,0.22058956916097827,79.61505126953125,258.2066650390625,143.37760241829838,337.82171630859375,161.42857142857142
25,176.5645351473923,C1,-0.0010853903162950432,8664.881707784529,12480.64453125,0.0968058705329895,7309.545304384705,0.8823582766439984,33.047889709472656,370.3268737792969,110.62785219424629,403.37476348876953,197.3469387755102
26,177.48172335600907,NOISE,0.0586766440966552,7043.557448361319,12282.5390625,0.09783340990543365,496.479076421473,0.9171882086167784,504.40283203125,942.7074584960938,689.5682068094583,1447.1102905273438,191.74603174603175
27,179.2580498866213,NOISE,-0.0407029457210966,9111.777292105495,14737.32421875,0.24401983618736267,4073.0701380170667,1.7763265306122378,23.371856689453125,107.12004089355469,50.03592953401104,130.4918975830078,172.85714285714286
28,179.43219954648526,NOISE,0.11594202058017118,7009.0323218824615,10757.98828125,0.04844304174184799,269.11904756288646,0.17414965986395714,22.623180389404297,88.00448608398438,44.61996597662081,110.62766647338867,181.49659863945578
29,179.72244897959183,NOISE,-0.05124646093553411,9235.55480979151,14789.00390625,0.2543022632598877,7193.096138276216,0.2902494331065668,19.389297485351562,72.06521606445312,37.380394762760574,91.45451354980469,174.82993197278913
